atrybut1,atrybut2,klasa
96,7,klasa 3
94,7,klasa 3
93,8,klasa 3
93,14,klasa 3
98,19,klasa 3
98,19,klasa 3
97,23,klasa 3
98,30,klasa 3
88,22,klasa 3
92,27,klasa 3
87,14,klasa 3
86,9,klasa 3
84,8,klasa 3
85,6,klasa 3
86,4,klasa 3
90,4,klasa 3
97,12,klasa 3
96,16,klasa 3
94,27,klasa 3
93,27,klasa 3
95,23,klasa 3
92,22,klasa 3
89,19,klasa 3
91,18,klasa 3
94,17,klasa 3
95,7,klasa 3
92,5,klasa 3
89,7,klasa 3
92,11,klasa 3
91,13,klasa 3
89,12,klasa 3
87,12,klasa 3
88,7,klasa 3
64,8,klasa 1
88,40,klasa 1
98,66,klasa 1
80,22,klasa 1
90,100,klasa 1
84,120,klasa 1
69,121,klasa 1
77,111,klasa 1
81,87,klasa 1
77,56,klasa 1
60,46,klasa 1
67,29,klasa 1
54,14,klasa 1
45,26,klasa 1
38,59,klasa 1
46,57,klasa 1
65,68,klasa 1
63,98,klasa 1
56,123,klasa 1
47,108,klasa 1
51,85,klasa 1
29,72,klasa 1
35,40,klasa 1
34,10,klasa 1
14,12,klasa 1
26,33,klasa 1
36,79,klasa 1
26,59,klasa 1
15,34,klasa 1
21,128,klasa 2
13,127,klasa 2
3,128,klasa 2
6,125,klasa 2
12,129,klasa 2
16,125,klasa 2
28,125,klasa 2
28,127,klasa 2
31,117,klasa 2
41,124,klasa 2
46,130,klasa 2
40,118,klasa 2
39,114,klasa 2
38,111,klasa 2
35,109,klasa 2
18,77,klasa 2
16,71,klasa 2
10,63,klasa 2
10,63,klasa 2
9,62,klasa 2
6,59,klasa 2
4,49,klasa 2
5,40,klasa 2
7,45,klasa 2
10,53,klasa 2
8,56,klasa 2
6,53,klasa 2
4,51,klasa 2
5,50,klasa 2
5,47,klasa 2
4,36,klasa 2
9,48,klasa 2
11,63,klasa 2
16,75,klasa 2
20,89,klasa 2
22,92,klasa 2
23,104,klasa 2
25,111,klasa 2
26,121,klasa 2
18,120,klasa 2
5,116,klasa 2
6,107,klasa 2
12,114,klasa 2
5,116,klasa 2
8,119,klasa 2
11,119,klasa 2
13,120,klasa 2
19,122,klasa 2
27,118,klasa 2
37,113,klasa 2
33,111,klasa 2
33,111,klasa 2
33,109,klasa 2
30,107,klasa 2
29,113,klasa 2
25,115,klasa 2
23,100,klasa 2
28,99,klasa 2
30,103,klasa 2
21,114,klasa 2
19,117,klasa 2
10,115,klasa 2
13,110,klasa 2
19,105,klasa 2
19,109,klasa 2
15,108,klasa 2
10,110,klasa 2
3,107,klasa 2
6,101,klasa 2
12,100,klasa 2
17,99,klasa 2
27,107,klasa 2
24,102,klasa 2
13,102,klasa 2
10,102,klasa 2
15,104,klasa 2
22,101,klasa 2
28,98,klasa 2
36,122,klasa 2
34,101,klasa 2
25,90,klasa 2
27,92,klasa 2
32,94,klasa 2
25,90,klasa 2
25,90,klasa 2
22,84,klasa 2
20,80,klasa 2
12,72,klasa 2
10,70,klasa 2
7,70,klasa 2
7,70,klasa 2
8,66,klasa 2
8,64,klasa 2
6,63,klasa 2
3,62,klasa 2
4,58,klasa 2
5,60,klasa 2
4,67,klasa 2
10,70,klasa 2
14,75,klasa 2
15,77,klasa 2
13,79,klasa 2
6,67,klasa 2
9,67,klasa 2
11,72,klasa 2
16,83,klasa 2
17,91,klasa 2
19,92,klasa 2
21,94,klasa 2
26,94,klasa 2
11,91,klasa 2
15,93,klasa 2
15,97,klasa 2
13,96,klasa 2
10,95,klasa 2
9,94,klasa 2
4,90,klasa 2
7,93,klasa 2
6,94,klasa 2
3,86,klasa 2
6,79,klasa 2
8,82,klasa 2
4,77,klasa 2
4,80,klasa 2
4,84,klasa 2
5,86,klasa 2
6,88,klasa 2
8,88,klasa 2
13,86,klasa 2
11,86,klasa 2
9,85,klasa 2
14,89,klasa 2
15,91,klasa 2
5,84,klasa 2
8,82,klasa 2
7,77,klasa 2
6,72,klasa 2
5,65,klasa 2
6,65,klasa 2
6,64,klasa 2
11,75,klasa 2
14,79,klasa 2
14,82,klasa 2
16,89,klasa 2
21,94,klasa 2
24,96,klasa 2
28,97,klasa 2
26,92,klasa 2
22,88,klasa 2
19,90,klasa 2
21,91,klasa 2
22,90,klasa 2
24,91,klasa 2
25,92,klasa 2
24,96,klasa 2
20,95,klasa 2
18,91,klasa 2
19,90,klasa 2
19,89,klasa 2
19,89,klasa 2
18,87,klasa 2
20,87,klasa 2
21,86,klasa 2
17,83,klasa 2
16,84,klasa 2
16,87,klasa 2
17,86,klasa 2
18,86,klasa 2
18,80,klasa 2
16,79,klasa 2
16,80,klasa 2
14,83,klasa 2
12,83,klasa 2
13,79,klasa 2
14,74,klasa 2
10,71,klasa 2
11,74,klasa 2
10,74,klasa 2
8,73,klasa 2
3,70,klasa 2
4,66,klasa 2
5,67,klasa 2
12,75,klasa 2
13,89,klasa 2
15,90,klasa 2
17,94,klasa 2
12,94,klasa 2
6,95,klasa 2
11,94,klasa 2
15,87,klasa 2
10,81,klasa 2
9,78,klasa 2
6,75,klasa 2
4,77,klasa 2
2,83,klasa 2
3,89,klasa 2
7,90,klasa 2
10,89,klasa 2
10,86,klasa 2
8,82,klasa 2
6,83,klasa 2
7,90,klasa 2
